Name, TotalSnowfall, mcnt
GIBBON 0.2 WNW, M, 3635
ELM CREEK 2.2 WSW, M, 3495
KEARNEY 2.0 NW, M, 3630
RISING CITY 2.4 ESE, M, 3546
BRAINARD 1.8 SSE, M, 3475
IMPERIAL 0.1 SW, M, 3531
ENDERS 3.0 W, M, 3550
IMPERIAL 7.6 S, M, 3446
CHAMPION 5.2 WNW, M, 3493
CHAMPION 8.3 W, M, 3603
VENANGO 8.9 SE, M, 3579
LAMAR 3.4 S, M, 3531
WAUNETA 2.8 W, M, 3563
IMPERIAL 11.5 N, M, 3596
CHAMPION 3.7 SSE, M, 3624
CHAMPION 0.0 WNW, M, 3644
GURLEY 6.0 SE, M, 3425
SIDNEY 7.2 S, M, 3582
SIDNEY 1.2 SSE, M, 3523
GURLEY 9.1 E, M, 3432
DALTON 14.6 E, M, 3445
POTTER 1.1 ESE, M, 3446
GURLEY 1.3 W, M, 3591
SIDNEY 0.9 NNW, M, 3471
DALTON 0.6 S, M, 3594
SIDNEY 8.1 SSE, M, 3529
LODGEPOLE 5.7 S, M, 3605
SIDNEY 7.3 W, M, 3595
EDGAR 4.2 ESE, M, 3430
CLAY CENTER 2.8 W, M, 3541
EDGAR 2.4 NW, M, 3591
CLAY CENTER 4.8 SSE, M, 3483
HASTINGS 6.1 ENE, M, 3570
DEWEESE 3.5 SSE, M, 3456
LAWRENCE 6.7 SSE, M, 3588
HARDY 3.0 NW, M, 3449
GUIDE ROCK 7.7 ESE, M, 3503
SUPERIOR 8.4 NW, M, 3573
HARDY 4.3 E, M, 3451
STEINAUER 6.4 W, M, 3623
BIG SPRINGS 7.6 S, M, 3613
GRANT 0.5 NE, M, 3486
GRANT 3.2 N, M, 3602
GRANT 8.6 NNE, M, 3551
GRANT 2.5 S, M, 3474
MADRID 6.6 NW, M, 3478
ELSIE 9.7 SSE, M, 3590
GRANT 4.1 ENE, M, 3612
ELSIE 3.9 NE, M, 3634
WALLACE 8.7 WSW, M, 3550
GRANT 7.5 WSW, M, 3617
WILCOX 1.1 NNW, M, 3631
FUNK 2.4 NNE, M, 3547
FUNK 12.5 N, M, 3490
COLUMBUS 4.3 SW, M, 3631
COLUMBUS 3.7 ENE, M, 3505
STROMSBURG 0.9 E, M, 3506
STROMSBURG 1.6 SE, M, 3476
MCCOOK 5.4 SW, M, 3461
MCCOOK 5.7 W, M, 3599
INDIANOLA 2.2 NW, M, 3614
BARTLEY 9.8 SSE, M, 3569
BARTLEY 6.0 SSE, M, 3544
MCCOOK 12.8 SSE, M, 3543
DANBURY 0.5 W, M, 3544
CAMBRIDGE 3.5 N, M, 3567
MILFORD 5.9 SSE, M, 3587
WESTERN 1.2 SE, M, 3612
DEWITT 0.3 WNW, M, 3612
TOBIAS 1.8 E, M, 3627
WESTERN 5.1 NNW, M, 3609
FRIEND 4.8 SSE, M, 3613
TOBIAS 4.7 SSW, M, 3478
DORCHESTER 2.1 NW, M, 3612
LYMAN 7.9 SE, M, 3504
MORRILL 5.7 SSW, M, 3470
GERING 7.3 S, M, 3456
SCOTTSBLUFF 2.7 WNW, M, 3613
GERING 0.4 E, M, 3473
LYMAN 8.5 SE, M, 3590
